"Total_Value","Year","Month","Day","Hour","Ventilation","Sokets_Plug","Lighting","Other_Electricity","Cooling","Heating","Y.Ventilation","Y.Sokets_Plug","Y.Lighting","Y.Other_Electricity","Y.Cooling","Y.Heating"
120.501,2021,5,29,15,8.875,15.438,7.5,58.188,24.5,6,0.0740814698940565,0.128293598762205,0.062723603492456,0.481419990521056,0.203148133548607,0.0503332037816191
118,2021,5,29,19,7,10.5,4.75,65.5,24.25,6,0.0598189997907512,0.089342697216991,0.0408394800167399,0.553286513915045,0.205328651391504,0.0513836576689684
6.125,2021,5,29,20,0.875,0.5,4.75,0,0,0,0.142967372134039,0.0820263290501386,0.772691484001008,0.000771604938271605,0.000771604938271605,0.000771604938271605
3.938,2021,5,29,23,2.75,0.5,0.688,0,0,0,0.695862645699704,0.127151794167623,0.174670745317859,0.000771604938271605,0.000771604938271605,0.000771604938271605
121,2021,5,30,3,1.875,6,1.125,101,5,6,0.0161957325783083,0.0501288133863891,0.0100260815222936,0.83161794714825,0.0419026119783696,0.0501288133863891
123.751,2021,5,30,7,8.125,12.25,4.438,72.063,21.125,5.75,0.0661236769155426,0.0993024211501571,0.036467912068749,0.580398234218035,0.170686992079176,0.0470207635683403
131.501,2021,5,30,8,7.75,13.5,7.688,69.563,27,6,0.0594336711611168,0.102957139649034,0.0589643746313341,0.527314742055663,0.205142674359797,0.046187398143055
118.751,2021,5,30,9,3.75,11.375,4,76.563,17.313,5.75,0.0322040887816825,0.0961168059299514,0.0342995877045766,0.642522341072423,0.145889096346531,0.048968080164835
116,2021,5,30,19,6.5,14.75,3.25,64.375,21.125,6,0.056546668795232,0.127338095998297,0.0286591368667518,0.553159256598553,0.182040562473393,0.0522562792677735
141.751,2021,5,30,23,5.75,17.313,7.063,73.375,32.5,5.75,0.0411478959671153,0.122342861735206,0.0503677342490061,0.516008188284604,0.228985423796954,0.0411478959671153
137.25,2021,5,31,2,5,13,8,85.875,19.125,6.25,0.0370328206166093,0.0950507657019497,0.058789550023612,0.623557984213722,0.139470754907913,0.0460981245361937
129,2021,5,31,3,13.125,11.5,5,61.875,30,7.5,0.10204475308642,0.0895061728395062,0.0393518518518519,0.478202160493827,0.232253086419753,0.058641975308642
120.751,2021,5,31,4,4,9.188,3.938,82.625,15.75,5.25,0.0337442633964333,0.076509801416669,0.0332331871903318,0.681863081214674,0.130601447617283,0.0440482191646088
138.501,2021,5,31,6,7,12.938,6,77.938,28.625,6,0.0510787694539978,0.0937536184389095,0.0438920316660369,0.560891574656367,0.206491974118652,0.0438920316660369
254.251,2021,5,31,10,47.75,18,23.813,139.688,17.75,7.25,0.187708667861073,0.0712400265636208,0.0939974118362961,0.547637876049482,0.070261298485491,0.0291547192040373
26.376,2021,5,31,14,17.5,5.813,3.063,0,0,0,0.661181882519462,0.220141030285669,0.116362272380054,0.000771604938271605,0.000771604938271605,0.000771604938271605
9.688,2021,5,31,17,5.625,1.25,2.813,0,0,0,0.578698765686964,0.129199862882425,0.289786556615795,0.000771604938271605,0.000771604938271605,0.000771604938271605
30.75,2021,5,31,20,26.25,0.625,3.875,0,0,0,0.850478018669075,0.0210027100271003,0.126204456489009,0.000771604938271605,0.000771604938271605,0.000771604938271605
250.25,2021,5,31,21,50.25,23.875,23.25,124.75,22.375,5.75,0.200641179807846,0.0957345124011791,0.0932485724152391,0.496965226131893,0.0897682564349231,0.0236422528089195
130.251,2021,6,1,3,6.625,11.188,8.25,82.188,15.75,6.25,0.051399459647285,0.0862696333887534,0.0638176126891185,0.628847397062708,0.121132165189888,0.0485337320222465
247.001,2021,6,1,9,118.25,16.813,15.375,53.563,36,7,0.477298203196158,0.0685250230905748,0.0627301372698996,0.21662102720032,0.145845241617205,0.0289803676258421
302.251,2021,6,1,11,106.5,33.313,32.688,34.375,88.625,6.75,0.35149648076811,0.110477687459581,0.108419442883114,0.113975056643912,0.292630685881177,0.0230006463641064
295.001,2021,6,1,19,120.25,24.125,36.063,58.188,50.375,6,0.406510185611005,0.0821723804786433,0.12245268963516,0.197105214353532,0.17074317251739,0.0210163574042708
